quantum_vendor_name,rows_count,ro_count,exact_match,avia_vendor_id,avia_vendor_name,notes
"AeroTek Manufacturing Ltd.",32,11,yes,9,"AeroTek Manufacturing Ltd.",""
"Airco Plating Co., Inc.",232,80,no,4,"Airco Plating Co., Inc","Quantum has trailing dot after Inc."
"Ampere Metal Finishing Inc",112,62,yes,3,"Ampere Metal Finishing Inc",""
"Aviatechnik Corporation",1,1,yes,1,"Aviatechnik Corporation",""
"Aviation Component Solutions",4,3,no,19,"Aviation Component Solution","Quantum plural Solutions, avia singular Solution"
"Brampton Processing",112,33,yes,15,"Brampton Processing",""
"Canadian Metal-Ad Corp",1,1,yes,20,"Canadian Metal-Ad Corp",""
"Collins Aerospace",2,2,yes,22,"Collins Aerospace",""
"Electroless Nickel Technologies Inc.",31,25,yes,7,"Electroless Nickel Technologies Inc.",""
"Liebherr Aerospace Saline, Inc",11,11,no,17,"Liebherr  Aerospace Saline, Inc","avia has double space after Liebherr"
"Masterchrome Co. Ltd",66,38,yes,11,"Masterchrome Co. Ltd",""
"Metal Improvement Co, LLC",5,5,no,16,"Metal Improvement Co. LLC","comma vs dot"
"Micro Custom Tools",432,163,yes,2,"Micro Custom Tools",""
"Ontario Chromium Plating",97,54,yes,5,"Ontario Chromium Plating",""
"Pylon Electronics Inc.",12,4,yes,24,"Pylon Electronics Inc.",""
"Quality One Precision Anodizing",6,6,yes,25,"Quality One Precision Anodizing",""
"RMS c/o Hamilton Sundstrand Corporation",12,12,yes,14,"RMS c/o Hamilton Sundstrand Corporation",""
"SkyService F.B.O. Inc.",724,231,yes,6,"SkyService F.B.O. Inc.",""
"Southwest United Canada",1,1,yes,26,"Southwest United Canada",""
"Southwest United Canada - Brampton",19,16,yes,8,"Southwest United Canada - Brampton",""
"Southwest United Canada-Concord",13,5,yes,21,"Southwest United Canada-Concord",""
"Vibra Finish Ltd",155,67,yes,13,"Vibra Finish Ltd",""
