quantum_vendor_name,rows_count,ro_count,avia_candidate_id,avia_candidate_name,notes
"AeroTek Manufacturing Ltd.",32,11,9,"AeroTek Manufacturing Ltd.","exact"
"Airco Plating Co., Inc.",232,80,4,"Airco Plating","candidate"
"Ampere Metal Finishing Inc",112,62,3,"Ampere Metal Finishing","candidate"
"Aviatechnik Corporation",1,1,1,"Aviatechnik","candidate"
"Aviation Component Solutions",4,3,,,"no obvious avia vendor"
"Brampton Processing",112,33,15,"Brampton Processing","exact"
"Canadian Metal-Ad Corp",1,1,,,"no obvious avia vendor"
"Collins Aerospace",2,2,,,"no obvious avia vendor"
"Electroless Nickel Technologies Inc.",31,25,7,"Electroless Nickel Tech. (EN Tech.)","candidate"
"Liebherr Aerospace Saline, Inc",11,11,17,"Liebherr Saline","candidate"
"Masterchrome Co. Ltd",66,38,11,"Masterchrome","candidate"
"Metal Improvement Co, LLC",5,5,16,"Metal Improvement","candidate"
"Micro Custom Tools",432,163,2,"Micro Custom","candidate"
"Ontario Chromium Plating",97,54,5,"Ontario Chrome","candidate"
"Pylon Electronics Inc.",12,4,,,"no obvious avia vendor"
"Quality One Precision Anodizing",6,6,,,"no obvious avia vendor"
"RMS c/o Hamilton Sundstrand Corporation",12,12,14,"RMS c/o Hamilton Sundstrand Corp.","candidate"
"SkyService F.B.O. Inc.",724,231,6,"Skyservice","candidate"
"Southwest United Canada",1,1,8,"Southwest United Canada","exact"
"Southwest United Canada - Brampton",19,16,8,"Southwest United Canada","candidate"
"Southwest United Canada-Concord",13,5,8,"Southwest United Canada","candidate"
"Vibra Finish Ltd",155,67,13,"VibraFinish","candidate"
